date,main_numbers,bonus_numbers,scope,winners_rank_1,winners_rank_2,winners_rank_3,winners_rank_4,winners_rank_5,winners_rank_6,winners_rank_7,winners_rank_8,winners_rank_9,winners_rank_10,winners_rank_11,winners_rank_12,winners_rank_13
2018-12-11,4 7 13 23 42,1 3,europe,0,5,10,58,1149,2165,2558,26898,43815,92746,114980,533913,1123773
2018-12-14,12 29 38 42 44,2 12,europe,0,5,11,31,805,1511,2218,21581,36200,92368,111099,515756,1320327
2018-12-18,1 9 18 39 48,5 7,europe,0,3,5,55,707,2066,1616,32382,33570,68896,176166,507054,996849
2018-12-21,2 12 15 34 50,3 4,europe,0,3,11,58,1193,2134,2211,32528,50115,103216,173934,733523,1502622
2018-12-25,4 5 8 31 43,2 9,europe,0,4,5,35,699,2026,1637,29011,36462,80087,152071,538548,1152646
2018-12-28,13 16 34 35 45,10 12,europe,0,3,15,38,823,1676,2161,24682,37344,105191,133842,558591,1637549
2019-01-01,1 8 11 25 28,4 6,europe,1,11,12,86,1392,3126,3368,39603,54281,125298,191321,708609,1590576
2019-01-04,7 11 19 27 37,6 10,europe,0,7,11,51,1089,1827,3449,22302,42784,125591,107912,513443,1374467
2019-01-08,3 19 22 31 32,2 11,europe,0,1,7,36,507,1179,1268,17350,25195,60461,91554,373888,896459
2019-01-11,1 19 31 39 48,1 6,europe,0,3,6,48,717,1646,1639,25204,32537,72386,134188,492435,1089811
2019-01-15,22 25 29 33 35,3 6,europe,0,4,3,28,553,1572,1114,23431,26806,55213,125634,410680,852126
2019-01-18,5 6 16 30 46,5 10,europe,0,2,6,46,795,1785,1749,25835,38291,85058,137118,543230,1213507
2019-01-22,9 23 29 41 49,8 10,europe,0,1,7,30,579,1170,1401,17404,27910,68429,93101,401465,973928
2019-01-25,1 6 13 15 16,6 10,europe,0,6,8,46,1197,2075,2665,27221,46896,108775,138025,610670,1485276
2019-01-29,14 24 26 32 39,3 8,europe,0,5,11,43,789,1971,1626,28420,34272,70957,148184,483657,1004860
2019-02-01,3 21 26 41 46,1 6,europe,0,4,17,57,1228,2774,2804,43031,56115,128885,238140,874000,1999634
2019-02-05,14 25 31 37 43,2 3,europe,0,2,18,48,1074,1767,2145,26440,42581,87162,149117,635051,1283158
2019-02-08,11 12 13 39 46,7 10,europe,0,7,8,44,1093,2419,2470,38009,54135,120437,211019,847307,1895732
2019-02-12,6 34 36 41 50,1 5,europe,0,5,7,41,785,1871,1684,29044,38235,84033,169842,591909,1308536
2019-02-15,15 27 34 38 49,2 10,europe,0,6,18,67,1313,2791,3104,37977,56613,136044,203919,811672,1946221
2019-02-19,1 8 18 19 39,7 9,europe,1,5,9,77,1329,3192,2815,46068,60643,123321,234752,845449,1706345
2019-02-22,3 27 29 33 50,3 7,europe,0,3,7,65,772,3488,1441,50885,38771,73176,245895,578383,1089961
2019-02-26,3 15 29 35 47,3 4,europe,0,2,7,33,661,1223,1318,17023,28040,53803,94268,405240,786748
2019-03-01,6 9 19 26 31,11 12,europe,0,4,16,40,1042,1576,3712,23519,40147,138454,122104,544016,1744195
2019-03-05,6 10 16 39 46,8 11,europe,0,0,4,22,499,1038,1345,16484,25029,62368,89499,374161,899304
2019-03-08,17 18 19 24 40,4 8,europe,0,7,9,51,954,2372,1920,36124,41771,89166,192017,620211,1336119
2019-03-12,5 7 13 19 31,2 9,europe,0,2,19,108,1766,2736,3616,31806,51929,110625,141942,586981,1226756
2019-03-15,3 15 24 42 46,9 12,europe,1,6,17,31,839,1465,2034,21579,38042,96195,113757,552873,1417294
2019-03-19,1 6 9 34 47,7 12,europe,0,1,3,16,445,842,1048,12395,22274,55355,65710,324348,794043
2019-03-22,4 17 26 30 43,6 11,europe,0,7,13,44,901,1725,2181,22496,34752,87132,115283,481970,1182929
2019-03-26,12 19 23 43 47,2 6,europe,0,7,6,25,659,1701,1349,23314,28860,61183,118249,400920,863340
2019-03-29,13 23 26 32 47,6 10,europe,0,3,10,39,820,1752,2029,24324,37264,90504,124003,512384,1269449
2019-04-02,2 9 16 26 36,6 7,europe,0,4,5,29,819,1553,1594,20369,34213,63932,107168,453352,886549
2019-04-05,1 7 10 29 45,3 5,europe,0,3,5,73,1115,2975,2287,42731,49723,96089,211470,679420,1306372
2019-04-09,18 21 29 38 41,1 11,europe,1,5,6,34,656,1121,1624,17697,25337,66717,92036,373477,969367
2019-04-12,1 28 35 36 46,6 9,europe,0,4,3,23,503,1239,1070,22172,24800,54645,135186,411031,876298
2019-04-16,1 8 15 44 49,2 11,europe,0,1,8,24,414,1086,1154,15688,21786,53562,82585,334699,810561
2019-04-19,7 8 32 41 49,5 11,europe,0,0,3,27,583,1267,1236,20266,27630,62283,111831,434540,982151
2019-04-23,18 23 27 42 44,2 7,europe,1,3,5,38,580,1864,1182,25949,28192,53531,128211,394701,772418
2019-04-26,14 33 35 47 50,9 11,europe,0,0,6,29,521,1212,1277,17295,26054,58923,93752,392402,906394
2019-04-30,5 12 20 26 48,2 11,europe,1,3,5,28,653,1264,1650,16198,25907,65654,84365,357845,878520
2019-05-03,2 9 20 27 43,5 6,europe,0,4,7,32,798,1533,1736,22301,35833,71945,115887,508803,1003636
2019-05-07,7 20 26 32 47,2 11,europe,1,3,9,26,484,1162,1119,16424,21674,51594,83651,322911,775242
2019-05-10,1 4 27 45 48,1 7,europe,0,2,3,36,610,1593,1191,25284,29217,59120,134554,457887,930343
2019-05-14,10 14 17 25 50,2 10,europe,0,2,2,25,570,1193,1384,16819,26264,61193,80710,362227,860135
2019-05-17,16 28 42 43 45,6 7,europe,0,5,2,30,612,1384,1229,21374,29622,60024,120599,460174,902537
2019-05-21,32 33 34 39 47,8 12,europe,0,0,4,16,391,826,1015,12402,18600,45177,67288,284142,709901
2019-05-24,5 16 23 30 49,6 7,europe,0,6,10,55,987,1778,1915,26213,42096,81630,138645,576703,1124542
2019-05-28,7 19 20 28 29,1 5,europe,2,7,8,39,926,1809,1722,23466,36293,75900,107921,467392,984096
2019-05-31,1 23 24 26 35,1 11,europe,0,1,3,25,500,1288,1226,18713,26753,65466,99578,406788,1043126
2019-06-04,9 31 32 39 41,2 8,europe,0,2,3,28,406,1268,886,19530,20715,45632,115154,322830,709419
2019-06-07,1 4 16 20 34,2 5,europe,0,6,16,97,1506,3958,3173,54988,69133,142600,283917,985415,2037093
2019-06-11,25 27 39 42 46,11 12,europe,1,6,4,30,792,1506,2003,21733,33452,89107,115944,478697,1313475
2019-06-14,1 13 30 31 39,2 7,europe,0,6,12,35,728,2051,1622,32911,35750,72082,177551,533312,1051750
2019-06-18,12 24 37 40 44,3 7,europe,0,5,5,54,720,1938,1361,27386,26506,52595,152015,369398,726272
2019-06-21,5 8 9 25 39,3 7,europe,0,2,3,60,938,3423,1901,46054,42846,85581,223352,589845,1156433
2019-06-25,6 26 27 34 46,1 9,europe,0,0,1,15,456,1110,1022,17529,22361,51866,99304,337389,777651
2019-06-28,1 3 16 33 49,2 11,europe,0,3,15,51,707,1740,1808,24811,34297,83417,127473,499692,1205436
2019-07-02,11 19 29 44 45,8 12,europe,0,2,9,22,590,985,1564,14841,26672,70404,77719,383096,1004018
2019-07-05,2 9 20 34 42,6 9,europe,0,4,13,46,898,2035,1862,31188,39967,81297,169144,567713,1181467
2019-07-09,7 29 32 36 41,6 7,europe,0,4,2,27,725,1516,1356,21973,30577,60008,121307,464477,894517
2019-07-12,2 31 39 45 47,4 8,europe,0,3,5,47,656,1842,1624,28203,33286,74811,169970,519499,1146340
2019-07-16,3 5 13 18 39,7 8,europe,0,6,5,47,965,1857,1971,25340,45728,87434,125128,614745,1170916
2019-07-19,13 14 17 26 28,2 7,europe,1,10,21,125,1802,4324,3200,55442,67615,127072,257401,880010,1693938
2019-07-23,1 14 19 23 38,3 7,europe,0,2,7,51,546,2274,1167,32194,28152,54082,160869,403012,770852
2019-07-26,2 5 27 37 42,3 10,europe,0,2,5,34,598,1356,1403,21247,29244,69869,110894,444960,1059692
2019-07-30,15 20 23 27 40,3 6,europe,0,2,3,36,667,1715,1281,23174,29818,60055,117052,408048,835801
2019-08-02,13 22 33 44 50,2 5,europe,0,8,22,73,1640,2536,3284,31624,45572,90028,161823,568519,1124825
2019-08-06,12 13 29 36 38,4 12,europe,0,2,9,17,513,935,1260,14355,24313,63616,75941,359184,958493
2019-08-09,2 14 35 41 42,10 11,europe,0,1,2,19,573,1214,1663,19049,27598,73885,104263,423084,1142259
2019-08-13,13 29 31 33 40,2 3,europe,0,5,3,26,696,1310,1445,19106,34919,66279,103995,486619,945333
2019-08-16,9 10 27 37 42,1 5,europe,0,2,9,46,828,1953,1767,28769,38647,84907,153135,583188,1257576
2019-08-20,20 22 23 24 37,1 4,europe,0,2,4,28,659,1365,1504,20516,29238,66071,112268,447685,1034232
2019-08-23,4 17 35 42 45,2 8,europe,0,5,7,50,1019,2644,2069,40271,43330,93335,217127,641364,1378849
2019-08-27,8 26 35 43 47,1 9,europe,0,5,10,32,719,1534,1735,23821,31446,74153,134690,464472,1066815
2019-08-30,25 27 45 46 49,4 6,europe,0,0,9,51,877,2189,1978,36140,41656,93998,209707,661829,1489878
2019-09-03,7 11 38 39 44,7 10,europe,0,0,6,38,989,2106,2007,30949,44215,91842,159179,657760,1392702
2019-09-06,10 13 22 40 48,2 5,europe,0,6,11,88,1336,3555,2793,50958,61691,123459,260116,879585,1773357
2019-09-10,3 22 25 30 49,3 6,europe,0,3,6,45,1105,2885,2210,41068,49165,101295,216090,721509,1470302
2019-09-13,1 12 27 42 47,6 7,europe,0,4,16,83,1521,3434,2945,50135,72468,139908,264157,1069841,2079564
2019-09-17,22 37 43 44 45,1 12,europe,0,7,10,43,871,1978,2156,29092,40987,108027,161118,595679,1613274
2019-09-20,8 21 25 38 50,4 8,europe,0,13,36,99,1749,4132,3634,59500,70884,149809,305185,1018783,2163090
2019-09-24,2 33 42 47 48,1 2,europe,0,3,16,52,1068,2515,2566,38002,53715,121412,211329,824779,1862827
2019-09-27,24 37 41 43 46,2 8,europe,0,4,8,84,1341,3553,3070,54412,64732,145079,328406,973849,2172833
2019-10-01,2 11 18 40 46,1 4,europe,0,7,11,67,1312,2733,2856,40930,59217,136223,225621,894326,2058749
2019-10-04,6 9 35 41 44,6 9,europe,0,8,12,142,1635,5408,3547,76747,76787,163897,346714,1191332,2484442
2019-10-08,7 10 15 44 49,3 12,europe,1,4,25,80,1775,3555,4105,51358,83674,199382,268223,1237128,2959529
2019-10-11,2 14 19 42 45,5 6,europe,0,4,5,41,772,1655,1610,25895,38137,77470,141583,587667,1155993
2019-10-15,3 28 31 32 34,4 5,europe,0,2,9,19,489,1199,1283,17987,25168,56022,101152,398184,808691
2019-10-18,8 18 22 41 42,11 12,europe,0,6,17,29,657,1275,1802,17985,28627,86638,96647,419915,1303935
2019-10-22,2 5 32 33 47,7 8,europe,0,1,5,38,578,1115,1174,18981,27336,54245,104750,432939,833461
2019-10-25,34 37 39 40 50,4 10,europe,0,3,5,26,638,1350,1443,21046,28814,66268,118817,449947,1064972
2019-10-29,16 18 28 42 49,5 10,europe,0,1,5,25,644,1417,1397,19878,28803,65663,107248,422626,971501
2019-11-01,2 20 39 44 48,5 7,europe,0,2,4,43,747,2025,1583,32660,34120,72892,199642,539730,1088807
2019-11-05,9 14 25 33 48,2 12,europe,0,3,8,27,689,1158,1736,17043,29423,76286,90783,421319,1094855
2019-11-08,8 17 20 23 45,2 8,europe,0,4,8,107,1409,4226,2770,54626,62226,123423,251743,805780,1672150
2019-11-12,1 21 23 25 39,2 4,europe,0,5,10,46,731,1662,1632,25801,35754,77073,138750,536172,1151681
2019-11-15,3 13 20 32 34,4 11,europe,0,11,10,37,974,2043,2402,29316,44697,109171,153744,651616,1604609
2019-11-19,8 10 15 30 42,4 6,europe,1,3,13,50,980,2503,2139,33133,42830,94664,165627,586347,1299039
2019-11-22,3 21 32 34 48,3 11,europe,0,4,6,28,736,1473,1706,20911,33185,70798,111809,471530,1024308
2019-11-26,2 3 15 19 34,5 8,europe,0,4,6,40,599,1872,1224,28500,28745,59498,145869,427584,878486
2019-11-29,3 7 12 42 50,6 8,europe,0,2,5,39,850,2039,2056,30490,41699,95157,154348,591932,1314220
2019-12-03,18 31 32 38 48,4 12,europe,1,1,4,25,455,1005,1152,14591,23817,58409,76990,338132,853294
2019-12-06,1 3 27 39 46,1 10,europe,0,2,2,16,617,1267,1609,18726,29386,75604,99123,438621,1111230
2019-12-10,2 10 19 21 47,2 8,europe,0,0,4,53,832,2188,1567,28972,31627,63488,140485,421035,868710
2019-12-13,9 16 18 23 32,2 10,europe,0,3,11,51,1106,1909,2723,27182,44936,110577,136013,602141,1467123
2019-12-17,1 7 12 25 49,6 9,europe,1,2,14,69,1037,2013,2427,26312,35889,79871,128030,462960,1012572
2019-12-20,8 24 30 32 34,3 4,europe,0,1,3,37,647,1595,1384,22516,35481,69386,118818,512263,1015412
2019-12-24,3 11 13 14 47,3 6,europe,0,1,4,45,770,2204,1531,31898,38449,74332,150061,539471,1061792
2019-12-27,1 7 22 26 35,5 10,europe,0,2,9,31,725,1507,1838,22757,34192,80968,117869,498203,1162951
2019-12-31,26 31 33 41 48,2 4,europe,0,2,6,36,823,1696,1704,26542,35939,78300,152760,553146,1204239
2020-01-03,5 15 20 36 47,8 12,europe,0,5,8,26,710,1294,1696,18386,30832,79892,98325,457864,1184249
2020-01-07,5 8 12 37 43,6 11,europe,0,2,17,28,673,1359,1479,19964,29548,73786,103598,431059,1059296
2020-01-10,6 17 32 44 46,2 6,europe,0,2,5,54,944,2310,2075,34755,41192,88541,188097,600962,1272032
2020-01-14,21 25 29 39 44,8 9,europe,0,4,5,19,735,1469,1385,21378,33632,67915,114796,505479,1023981
2020-01-17,8 19 20 29 44,3 8,europe,1,4,5,64,1164,3451,2256,48159,54426,106522,220155,763017,1491899
2020-01-21,10 11 24 36 46,3 5,europe,0,3,5,21,474,1333,983,22813,24456,47953,127338,374176,732557
2020-01-24,3 4 6 9 24,5 8,europe,1,5,12,97,1304,3192,3205,38557,48109,107815,191616,590286,1252672
2020-01-28,1 19 27 31 38,4 5,europe,0,2,2,29,564,1204,1125,17912,27327,55691,93807,399108,801735
2020-01-31,13 18 20 23 30,2 4,france,0,4,9,6,294,553,533,6648,10088,20560,30517,126309,257549
2020-02-04,21 23 33 35 47,6 7,europe,0,4,9,47,659,1573,1461,22081,32479,61757,116314,473901,910511
2020-02-07,9 15 17 25 40,3 9,europe,1,10,21,125,1753,4818,3470,64186,78373,154867,316390,1051780,2131657
2020-02-11,24 26 32 43 46,6 10,europe,1,5,5,22,441,1016,1073,15248,21754,49845,82255,319038,745826
2020-02-14,5 20 35 41 49,6 10,europe,0,3,6,22,622,1413,1573,20251,27721,67779,114200,433629,1067373
2020-02-18,11 32 34 38 47,2 10,europe,0,2,3,22,432,1051,1084,14720,21333,51032,81867,313390,752328
2020-02-21,7 23 30 32 45,5 9,europe,0,4,6,64,1075,2748,1893,35431,41353,83014,180129,578223,1158067
2020-02-25,1 4 18 27 42,4 6,europe,0,2,4,41,698,1862,1551,25527,31969,66345,126041,437820,928177
2020-02-28,8 11 20 22 23,3 4,europe,1,4,6,86,1460,2458,2778,31146,56318,110228,142449,718242,1408162
2020-03-03,4 14 27 44 45,1 10,europe,0,2,8,31,515,942,1323,12916,21927,60320,69504,311126,849665
2020-03-06,15 38 43 45 46,1 11,europe,0,3,2,24,454,1195,1239,17365,24578,61429,98569,375415,960898
2020-03-10,11 23 30 37 43,5 12,europe,0,4,11,30,618,978,1393,13649,25024,60287,72480,352601,865052
2020-03-13,3 11 21 27 36,9 10,europe,0,5,10,28,1050,1458,2496,21469,43876,107944,108210,586799,1433503
2020-03-17,5 7 8 16 20,2 12,europe,1,1,10,20,663,909,1871,11361,24878,65329,56137,308690,802072
2020-03-20,3 9 20 34 40,6 12,europe,1,1,5,17,372,646,1026,10259,17906,48304,54381,257346,705250
2020-03-24,7 12 26 30 33,10 11,europe,0,0,7,14,342,517,984,7338,13096,41534,38881,181198,559969
2020-03-27,11 14 27 41 46,2 3,europe,0,3,4,11,515,811,922,12637,20959,40640,68974,309679,594393
2020-03-31,12 17 24 30 36,1 9,europe,0,0,8,20,447,883,1017,12204,17399,40152,62225,231617,537703
2020-04-03,16 19 34 46 50,2 6,europe,0,1,1,27,395,957,862,16390,18322,39155,94506,288016,615452
2020-04-07,4 5 14 33 48,7 12,europe,0,3,2,8,293,580,722,8985,14646,35661,48459,232864,557176
2020-04-10,3 10 17 33 39,1 4,europe,0,0,6,27,621,1122,1499,15836,25977,61580,81248,361603,837155
2020-04-14,6 29 34 35 40,4 11,europe,0,1,0,11,249,580,630,9521,12558,29444,56431,205136,488245
2020-04-17,16 28 32 37 45,1 11,europe,1,2,7,25,424,846,1382,13216,20091,54040,72658,289473,765397
2020-04-21,10 11 14 23 28,6 8,europe,0,0,9,36,630,1220,1302,15103,23666,49650,69348,289915,613372
2020-04-24,1 5 19 21 28,4 7,europe,0,2,11,58,838,1956,1666,24446,32242,63734,112741,397681,789050
2020-04-28,15 23 26 28 32,1 5,europe,0,2,3,20,418,948,922,13442,19829,41941,68361,272611,588301
2020-05-01,19 20 38 45 47,2 6,europe,0,2,4,18,401,1114,856,17825,19899,43289,103637,307608,664701
2020-05-05,2 10 22 27 41,2 3,europe,0,1,2,12,611,1032,1045,14408,25736,44589,72201,340813,623612
2020-05-08,8 25 32 33 38,7 9,europe,0,4,2,23,481,1213,1018,19060,23726,49676,109056,370064,753374
2020-05-12,9 16 29 37 39,4 11,europe,0,1,11,27,482,1017,1228,13634,21054,50289,70785,287434,683566
2020-05-15,11 23 32 34 39,1 6,europe,1,1,6,31,740,1409,1844,19013,29810,70025,101435,386395,915870
2020-05-19,5 25 32 37 43,6 7,europe,0,1,6,21,467,981,934,14287,20912,40300,81398,312561,614114
2020-05-22,3 18 22 27 32,2 7,europe,0,0,13,53,842,2454,1496,33462,36228,69537,158062,501467,970867
2020-05-26,4 9 14 21 27,4 6,europe,2,5,6,63,999,1993,1869,24082,33423,67756,106041,400538,842619
2020-05-29,4 8 11 19 46,4 8,europe,1,5,13,137,897,3574,1730,33182,37668,74615,134296,492834,984731
2020-06-02,10 12 22 26 49,7 11,europe,0,5,9,17,547,1020,1288,14935,23592,53698,77349,328824,745473
2020-06-05,5 11 17 24 37,3 6,europe,0,3,11,67,1100,2434,2165,31131,42614,84690,149368,545858,1102940
2020-06-09,5 15 27 36 46,2 8,europe,0,3,2,33,550,1427,1095,22240,23196,51249,120489,352621,765947
2020-06-12,2 24 39 45 46,4 8,europe,1,2,3,38,565,1564,1158,23702,26919,58277,142367,419915,911820
2020-06-16,4 9 11 17 39,2 10,europe,0,2,4,16,636,1128,1656,15600,26331,68380,76193,353669,879179
2020-06-19,5 14 19 24 43,3 11,europe,0,4,8,35,744,1537,1722,20217,33500,76928,103921,466080,1083585
2020-06-23,2 12 19 46 49,1 8,europe,0,0,3,21,487,1142,1120,15908,22351,51961,85896,337786,773857
2020-06-26,1 10 12 21 26,5 11,europe,0,9,18,38,1049,1633,2726,22953,41590,98412,117337,530351,1232996
2020-06-30,1 6 11 28 42,2 10,europe,0,1,16,23,654,1299,1688,18420,28487,71847,95075,400514,980320
2020-07-03,4 16 27 37 39,3 6,europe,0,10,33,98,1552,3713,3327,52823,66033,138411,275443,940515,1961364
2020-07-07,12 16 23 33 41,8 10,europe,1,8,16,54,1068,1861,2492,27209,45013,108567,143534,631726,1527227
2020-07-10,15 17 23 30 38,2 7,europe,0,9,14,66,964,2649,1909,36019,42487,80362,177965,573219,1095560
2020-07-14,11 22 30 37 47,9 10,europe,0,0,6,19,487,818,1138,12292,21782,51291,66459,325980,778495
2020-07-17,7 15 27 41 43,7 9,europe,0,7,5,53,957,2455,1739,33820,40886,72686,160145,568827,1030354
2020-07-21,14 15 24 29 42,2 4,europe,1,3,3,37,555,1427,1204,21507,26912,56710,107554,399902,832577
2020-07-24,8 9 27 28 50,4 12,europe,0,3,7,23,555,1058,1595,16672,27279,72778,84996,416403,1125472
2020-07-28,9 13 15 17 34,2 7,europe,0,4,7,44,741,2093,1394,28516,32694,60275,135763,434961,826953
2020-07-31,21 24 30 46 49,2 5,europe,0,0,6,27,529,1506,1226,24333,27797,58195,145640,450152,919223
2020-08-04,1 2 5 15 42,5 8,europe,0,2,1,41,674,1933,1192,28050,31560,62253,141282,427402,843157
2020-08-07,5 20 21 36 41,6 11,europe,0,4,7,36,614,1516,1533,23353,32163,76263,129363,497396,1199060
2020-08-11,8 13 14 42 50,3 9,europe,0,2,2,31,530,1726,1237,26334,27592,59707,144296,435472,916256
2020-08-14,9 10 19 42 49,4 12,europe,0,5,5,24,670,1449,1810,21133,34068,91743,111645,510793,1349713
2020-08-18,6 12 17 34 42,5 12,europe,0,5,5,30,746,1354,1907,18506,32782,80439,96316,457082,1116083
2020-08-21,10 15 35 44 50,3 5,europe,0,6,9,47,993,2610,1978,41568,44889,89552,219696,679218,1364172
2020-08-25,7 18 30 37 39,8 10,europe,0,5,11,47,944,1746,2037,25376,40006,92808,132800,564682,1345481
2020-08-28,7 12 16 17 31,7 9,europe,0,9,18,104,1731,4142,3228,56369,73247,132973,261389,974840,1815616
2020-09-01,4 8 10 33 46,8 11,europe,1,6,6,44,1006,1973,2050,28911,45746,100330,152250,654019,1486934
2020-09-04,6 22 29 40 43,4 7,europe,0,4,8,38,674,1866,1500,28936,32338,68089,163884,491615,1013742
2020-09-08,2 9 31 35 41,9 12,europe,0,2,4,23,428,821,987,12450,20444,48658,68440,320138,783822
2020-09-11,34 38 42 43 45,9 12,europe,0,2,8,25,580,1055,1426,16223,25778,62894,88055,389847,969300
2020-09-15,16 20 25 30 38,6 8,europe,0,3,7,36,655,1541,1344,22037,29331,60360,113496,414876,873152
2020-09-18,2 10 19 25 45,1 7,europe,0,5,6,61,1158,2426,2436,33330,46944,101487,166868,646705,1368514
2020-09-22,16 25 28 39 40,1 6,europe,0,5,3,21,600,1285,1443,20023,27225,64322,107403,404454,944456
2020-09-25,19 23 34 37 45,1 7,europe,1,5,25,78,1590,3162,3694,44420,63635,142425,237240,867562,1921549
2020-09-29,4 14 16 41 44,11 12,europe,0,1,6,16,450,857,1430,11989,19701,59701,64119,278746,862108
2020-10-02,6 12 15 40 45,3 9,europe,1,8,8,48,762,2195,1502,32321,34706,73110,169534,524166,1086594
2020-10-06,4 21 36 41 47,9 11,europe,0,3,5,16,395,887,943,13056,19244,43992,73158,295086,686274
2020-10-09,11 15 35 41 50,5 8,europe,0,2,3,44,677,1993,1365,31728,31487,62584,180330,477696,969596
2020-10-13,5 14 38 41 46,1 10,europe,0,1,1,19,410,949,1067,12725,19911,51243,72442,296170,772207
2020-10-16,15 33 38 40 50,3 6,europe,0,1,5,50,691,1693,1440,26653,31378,67950,157351,486562,1029066
2020-10-20,5 6 15 37 42,3 4,europe,0,3,7,23,586,1151,1286,18004,28060,58880,97757,426910,878501
2020-10-23,10 15 19 21 23,3 12,europe,0,3,26,31,1410,1612,3375,22625,49699,124813,110757,622490,1551438
2020-10-27,13 15 28 32 44,3 12,europe,1,4,9,24,735,1152,1869,17011,30567,76077,87237,421362,1050009
2020-10-30,12 16 20 21 28,3 9,europe,0,4,8,54,1047,2536,2083,33733,41198,83988,165331,541770,1105289
2020-11-03,5 7 18 20 30,6 7,europe,0,7,14,43,1128,1664,1939,21016,39142,69786,99060,470113,869851
2020-11-06,7 12 37 40 50,1 2,europe,0,2,6,41,725,1336,1488,21182,32150,72026,112945,484902,1091274
2020-11-10,3 19 29 32 38,5 12,europe,0,2,3,21,529,1084,1360,15129,26244,62688,79417,381713,927880
2020-11-13,1 5 17 28 31,1 10,europe,0,4,26,56,1328,2073,3283,27330,50710,125599,133357,644710,1633896
2020-11-17,16 19 25 30 44,2 6,europe,0,1,4,46,750,1896,1576,26592,32885,70609,135999,464581,982134
2020-11-20,28 29 39 48 50,5 7,europe,0,6,7,61,1144,3110,2605,49635,53181,113770,298808,842595,1730636
2020-11-24,25 33 38 42 50,8 12,europe,0,5,12,40,830,1615,2012,23825,37825,90012,125229,552652,1321424
2020-11-27,2 5 8 14 16,8 9,europe,0,3,28,90,2157,2979,4312,40603,77208,153979,196484,976295,1999670
2020-12-01,14 20 29 47 49,4 12,europe,0,3,6,53,821,1848,1967,26355,39794,97165,143597,606731,1502470
2020-12-04,14 20 27 34 38,1 11,europe,0,6,26,76,1747,3422,4703,50925,77496,204601,271544,1107720,2840869
2020-12-08,1 4 21 24 46,2 12,europe,0,4,16,65,1319,2616,3106,38177,58844,142857,203482,874394,2132408
2020-12-11,6 9 13 24 41,3 12,europe,1,12,17,73,2271,3764,5278,50834,91723,219032,258453,1224812,2892569
2020-12-15,9 13 21 29 35,1 2,europe,0,7,11,21,783,1283,1907,18232,33176,76794,92101,441028,1008542
2020-12-18,2 3 13 17 21,7 8,europe,0,4,10,80,1666,2495,2806,30918,62830,111763,142041,757863,1390130
2020-12-22,2 10 16 42 50,4 11,europe,1,4,3,15,593,1273,1435,18373,26586,66274,99104,403099,995329
2020-12-25,16 21 27 30 32,3 5,europe,0,0,4,55,812,2357,1613,32983,36790,70599,170909,533541,1026611
2020-12-29,7 32 39 40 45,3 8,europe,0,1,4,28,505,1331,1011,21753,24993,53878,125339,384162,814532
2021-01-01,16 28 32 44 48,1 9,europe,1,8,10,47,1008,1879,2435,28333,39885,96183,156929,565121,1323070
2021-01-05,12 34 37 38 42,1 3,europe,0,4,0,16,441,1054,971,14869,22652,52480,87049,335506,759051
2021-01-08,18 23 37 41 42,4 6,europe,0,4,6,47,723,1717,1473,28209,31800,68850,153197,482668,1057516
2021-01-12,2 10 18 34 35,6 9,europe,0,1,4,25,607,1384,1397,20787,25458,56481,117669,385051,844610
2021-01-15,4 10 27 38 40,3 11,europe,0,2,3,44,827,1727,1972,24461,37538,87508,127458,541887,1251776
2021-01-19,25 27 31 35 43,5 6,europe,0,6,4,23,546,1282,1206,19246,27536,55707,103841,425335,843964
2021-01-22,8 16 42 44 47,6 7,europe,1,1,2,35,722,1674,1599,26200,36769,74683,144978,563565,1133936
2021-01-26,5 7 25 37 40,2 8,europe,0,0,5,25,595,1670,1376,23815,26029,58012,124550,373011,824253
2021-01-29,1 5 27 36 42,1 6,europe,0,3,4,30,667,1702,1549,25376,33713,74940,132397,508307,1128677
2021-02-02,18 20 35 38 48,9 12,europe,0,1,10,28,525,985,1251,13819,23549,59074,76406,338644,838385
2021-02-05,12 19 37 44 45,2 6,europe,0,9,12,113,1610,3814,3449,55212,68836,147030,287111,980351,2108737
2021-02-09,5 10 24 31 37,9 10,europe,0,1,8,56,1078,1787,2494,25963,47850,109736,134742,667850,1553129
2021-02-12,7 23 30 32 36,8 12,europe,0,3,13,60,1186,2328,3014,33839,56573,142207,177849,810020,2047679
2021-02-16,5 9 25 29 30,6 7,europe,0,5,17,75,1515,2740,3204,38901,62736,124483,193196,850401,1678423
2021-02-19,4 12 25 46 48,7 12,europe,0,9,15,65,1645,3260,3619,46931,73511,165838,249124,1070213,2450775
2021-02-23,9 18 30 39 45,1 3,europe,0,6,9,69,1662,3152,3869,46060,72114,161187,252839,1002759,2239261
2021-02-26,6 12 22 29 33,6 11,europe,1,12,35,108,2406,4760,5419,63073,101722,227281,310363,1334324,3053393
2021-03-02,2 19 24 26 49,6 7,europe,0,2,5,30,712,1537,1470,21358,33011,64927,114577,471779,928312
2021-03-05,4 5 39 46 48,7 10,europe,0,3,5,23,638,1451,1338,22791,30928,68082,133487,499764,1129766
2021-03-09,1 16 21 32 33,11 12,europe,0,2,5,41,477,1043,1386,15161,23387,67182,80486,351440,1035128
2021-03-12,4 6 9 11 44,10 11,europe,0,7,13,35,1098,1749,3167,24117,44346,131304,120258,579055,1684823
