date,main_numbers,bonus_numbers,scope,winners_rank_1,winners_rank_2,winners_rank_3,winners_rank_4,winners_rank_5,winners_rank_6,winners_rank_7,winners_rank_8,winners_rank_9,winners_rank_10,winners_rank_11,winners_rank_12,winners_rank_13
2017-03-28,9 13 31 33 46,6 10,europe,0,3,13,31,594,1160,1377,16499,25210,61436,85940,359331,885792
2017-03-31,17 24 26 28 45,4 12,europe,0,2,14,23,721,1195,2096,17946,33464,95479,94913,480911,1364410
2017-04-04,1 9 24 33 34,2 6,europe,0,3,4,32,575,1639,1175,24843,27920,60062,132897,426256,911875
2017-04-07,2 10 19 35 50,6 7,europe,0,2,11,47,899,1974,2014,29033,43568,88858,154973,636764,1277867
2017-04-11,5 21 22 31 49,2 8,europe,1,1,5,34,679,1981,1331,30230,31833,69370,163646,479239,1029199
2017-04-14,4 14 20 23 33,6 10,europe,0,3,5,46,852,1474,2149,20801,34054,88122,103554,459998,1185499
2017-04-18,17 22 31 38 45,5 12,europe,0,1,3,14,426,695,1110,10301,19911,48987,55483,292336,730439
2017-04-21,2 13 16 22 49,4 5,europe,0,3,6,39,888,1784,1861,24839,40647,80735,129174,568872,1108135
2017-04-25,9 11 19 32 43,3 9,europe,0,9,7,50,758,2180,1403,29523,31559,58499,141385,431628,820118
2017-04-28,14 20 25 30 39,2 8,europe,0,2,4,63,872,2620,1794,37060,38755,81489,196312,557444,1180984
2017-05-02,6 19 23 25 27,11 12,europe,0,2,13,20,573,808,2340,11636,22325,87738,60687,300043,1103995
2017-05-05,3 7 30 35 43,1 3,europe,0,4,2,41,923,1887,1698,31310,43330,84899,157020,636510,1278175
2017-05-09,8 12 16 22 26,6 7,europe,0,10,13,52,1263,2087,2231,28776,45771,83417,127810,580491,1076334
2017-05-12,2 20 28 29 44,3 9,europe,0,0,10,55,923,2642,2063,40239,45203,94832,223008,673987,1398397
2017-05-16,8 11 15 20 30,3 8,europe,0,3,17,82,1365,2998,2487,37148,50466,95673,173088,618881,1229049
2017-05-19,9 11 12 19 30,4 9,europe,0,6,15,116,2155,4725,3998,58946,78073,153428,263339,937524,1938752
2017-05-23,8 15 25 27 42,1 4,europe,0,4,8,51,1066,2117,2582,28867,47039,109569,149808,642045,1505250
2017-05-26,5 7 26 36 39,2 10,europe,0,4,9,55,1230,2572,2715,37779,52565,127337,196462,787862,1895568
2017-05-30,7 12 27 38 48,6 9,europe,0,3,17,54,1266,2982,2866,40909,53492,115921,206300,747463,1604043
2017-06-02,8 10 24 33 42,3 9,europe,1,7,23,111,1827,4387,3983,61745,74589,158010,329474,1025852,2159425
2017-06-06,20 22 25 37 40,3 7,europe,0,0,3,31,514,1657,1063,27783,22954,47389,162020,367668,733727
2017-06-09,9 20 27 39 43,10 11,europe,0,1,11,17,699,1351,2157,18657,31122,90499,101443,431977,1276750
2017-06-13,3 12 22 27 49,4 11,europe,0,2,12,26,611,1279,1735,16878,28149,74209,84363,386576,997580
2017-06-16,15 17 38 41 42,9 12,europe,0,8,13,20,653,1070,1684,15981,29474,75357,85775,442692,1159464
2017-06-20,11 18 26 43 44,8 10,europe,0,3,4,24,533,1130,1275,16821,25527,60458,87600,379200,897423
2017-06-23,3 4 21 31 38,3 7,europe,0,4,4,45,725,3326,1557,53795,41003,77727,271863,637300,1198651
2017-06-27,9 17 21 28 45,1 3,europe,0,7,7,50,1018,1645,2042,23269,38384,82034,117443,497070,1070350
2017-06-30,17 35 39 47 50,6 8,europe,1,6,7,51,1145,2819,2660,42873,54632,120296,239603,819304,1773960
2017-07-04,10 22 25 37 49,5 8,europe,0,2,4,41,576,1875,1228,26316,26491,53474,139075,384356,761876
2017-07-07,11 20 35 37 45,3 6,europe,1,5,10,31,821,1682,1598,26983,32427,67850,157645,491840,1022080
2017-07-11,14 22 26 42 50,8 10,europe,1,2,5,29,443,955,1072,14187,21345,50952,75221,319253,762345
2017-07-14,11 14 20 21 47,7 10,europe,0,1,3,38,709,1446,1532,21105,34252,75388,108366,500930,1108450
2017-07-18,1 25 27 41 45,5 7,europe,0,5,2,21,474,1499,902,25984,22709,42754,143431,366785,675226
2017-07-21,1 8 9 26 49,5 9,europe,0,2,3,52,895,2398,1716,35167,41037,76145,182995,564974,1069100
2017-07-25,12 14 43 44 48,2 11,europe,0,1,3,23,376,955,931,15590,20402,46814,88833,327437,772642
2017-07-28,5 9 29 31 41,2 4,europe,1,3,7,57,819,1984,1850,28366,38374,83876,148371,570357,1218959
2017-08-01,14 21 24 29 30,8 10,europe,0,4,12,25,579,1096,1464,14436,23699,58934,74867,330638,810694
2017-08-04,29 30 36 40 41,2 9,europe,0,4,5,25,519,1197,1076,22690,24919,52567,137455,420217,879894
2017-08-08,15 25 26 40 41,4 5,europe,1,4,5,24,485,1171,975,17221,23975,45521,90484,369504,705906
2017-08-11,18 28 39 46 48,5 12,europe,0,3,5,33,646,1027,1536,14822,27002,66401,79233,384165,938643
2017-08-15,10 14 30 35 46,4 10,europe,0,0,4,18,397,796,930,12204,18107,43179,64398,277649,667406
2017-08-18,2 24 39 42 45,2 8,europe,0,3,5,36,650,2017,1318,30792,30161,62411,173919,455753,946271
2017-08-22,3 10 12 17 27,3 5,europe,1,12,8,126,1540,3727,2247,36864,48664,79413,149279,531479,930622
2017-08-25,1 5 7 15 47,9 12,europe,1,2,14,24,841,1054,2304,14733,33589,98628,74972,449128,1254375
2017-08-29,4 12 15 32 38,1 5,europe,0,1,4,29,567,1155,1180,17328,23963,51303,91726,350582,732569
2017-09-01,3 7 8 14 49,5 8,europe,1,3,5,44,955,2749,1830,41270,43119,85550,204738,595082,1179926
2017-09-05,6 9 18 28 29,1 9,europe,0,5,12,57,906,1668,1603,21772,31037,65089,98087,391894,838812
2017-09-08,9 24 42 47 49,1 5,europe,0,1,4,24,580,1466,1346,22753,29517,65617,130535,463292,1003813
2017-09-12,10 17 27 29 35,4 11,europe,0,2,5,26,697,1255,1740,17329,28998,78450,86249,387697,989179
2017-09-15,13 18 37 44 49,9 12,europe,0,6,19,42,1418,2533,3429,36245,64513,159188,190862,919842,2283940
2017-09-19,1 8 21 30 45,2 3,europe,0,8,11,41,1049,2091,2210,30268,47511,97136,157465,696585,1405122
2017-09-22,6 11 31 39 42,1 3,europe,0,2,9,64,1266,2671,2757,42947,59276,132787,231066,888030,1963331
2017-09-26,1 29 40 41 48,6 12,europe,0,8,7,42,800,1752,1916,26674,37830,94285,148962,596975,1488156
2017-09-29,7 18 19 32 48,3 7,europe,0,7,20,124,2029,6348,3908,91021,83594,162999,453867,1191188,2300570
2017-10-03,6 24 32 48 50,1 5,europe,0,4,17,70,1469,2999,3497,46207,65740,147110,262334,952354,2107578
2017-10-06,1 9 15 19 25,1 7,europe,1,16,22,161,3119,6365,5668,79614,116308,221456,363925,1438780,2939995
2017-10-10,4 21 34 36 37,3 6,europe,0,1,4,26,466,1361,989,21211,23807,49395,121922,368630,763924
2017-10-13,23 29 37 45 50,5 11,europe,0,2,9,45,893,2134,2048,30447,43671,96775,164479,637728,1420204
2017-10-17,13 17 19 26 36,2 3,europe,0,0,8,30,783,1482,1513,19604,36243,66783,97256,501781,933246
2017-10-20,4 17 23 27 30,3 8,europe,0,8,15,84,1525,3401,2873,43688,56967,110324,200749,712640,1403739
2017-10-24,9 11 13 27 33,7 10,europe,1,6,11,54,1277,1817,2655,22229,44165,95656,103819,523928,1148829
2017-10-27,3 16 23 32 39,1 4,europe,1,3,16,38,953,1563,2301,22235,35272,86571,117047,499948,1171498
2017-10-31,1 12 36 43 46,3 5,europe,0,0,3,17,352,1096,820,19570,20167,42156,124637,334761,675122
